"indice_tiempo","valor"
"2003-01-01","9504"
"2003-02-01","7216"
"2003-03-01","9454"
"2003-04-01","10656"
"2003-05-01","8671"
"2003-06-01","8715"
"2003-07-01","8633"
"2003-08-01","9012"
"2003-09-01","9999"
"2003-10-01","8838"
"2003-11-01","7646"
"2003-12-01","9713"
"2004-01-01","5323"
"2004-02-01","10250"
"2004-03-01","10857"
"2004-04-01","11559"
"2004-05-01","11539"
"2004-06-01","8567"
"2004-07-01","13011"
"2004-08-01","12648"
"2004-09-01","14900"
"2004-10-01","16473"
"2004-11-01","16448"
"2004-12-01","14661"
"2005-01-01","10804"
"2005-02-01","9007"
"2005-03-01","15134"
"2005-04-01","14291"
"2005-05-01","14137"
"2005-06-01","13177"
"2005-07-01","16753"
"2005-08-01","18019"
"2005-09-01","15995"
"2005-10-01","19783"
"2005-11-01","19671"
"2005-12-01","14810"
"2006-01-01","5155"
"2006-02-01","12793"
"2006-03-01","19557"
"2006-04-01","19492"
"2006-05-01","17076"
"2006-06-01","19960"
"2006-07-01","20174"
"2006-08-01","22496"
"2006-09-01","22209"
"2006-10-01","25693"
"2006-11-01","29995"
"2006-12-01","22189"
"2007-01-01","9884"
"2007-02-01","20192"
"2007-03-01","22782"
"2007-04-01","18872"
"2007-05-01","24174"
"2007-06-01","27155"
"2007-07-01","26326"
"2007-08-01","35145"
"2007-09-01","32924"
"2007-10-01","34644"
"2007-11-01","36998"
"2007-12-01","27314"
"2008-01-01","20476"
"2008-02-01","23395"
"2008-03-01","24626"
"2008-04-01","30640"
"2008-05-01","29556"
"2008-06-01","29216"
"2008-07-01","39018"
"2008-08-01","32326"
"2008-09-01","38591"
"2008-10-01","39063"
"2008-11-01","27905"
"2008-12-01","16280"
"2009-01-01","8190"
"2009-02-01","8557"
"2009-03-01","20739"
"2009-04-01","23349"
"2009-05-01","26344"
"2009-06-01","29361"
"2009-07-01","29517"
"2009-08-01","29213"
"2009-09-01","36515"
"2009-10-01","36814"
"2009-11-01","39337"
"2009-12-01","34559"
"2010-01-01","19474"
"2010-02-01","23205"
"2010-03-01","32765"
"2010-04-01","32387"
"2010-05-01","38900"
"2010-06-01","40813"
"2010-07-01","36988"
"2010-08-01","42526"
"2010-09-01","50071"
"2010-10-01","40938"
"2010-11-01","49740"
"2010-12-01","40146"
"2011-01-01","36444"
"2011-02-01","25091"
"2011-03-01","38994"
"2011-04-01","42244"
"2011-05-01","52715"
"2011-06-01","46737"
"2011-07-01","46248"
"2011-08-01","54955"
"2011-09-01","44348"
"2011-10-01","42455"
"2011-11-01","40901"
"2011-12-01","35583"
"2012-01-01","26344"
"2012-02-01","29084"
"2012-03-01","29067"
"2012-04-01","30442"
"2012-05-01","28650"
"2012-06-01","29885"
"2012-07-01","28483"
"2012-08-01","35853"
"2012-09-01","39982"
"2012-10-01","51253"
"2012-11-01","44724"
"2012-12-01","39705"
"2013-01-01","24195"
"2013-02-01","24646"
"2013-03-01","41591"
"2013-04-01","40864"
"2013-05-01","49594"
"2013-06-01","42621"
"2013-07-01","39289"
"2013-08-01","33528"
"2013-09-01","36489"
"2013-10-01","42873"
"2013-11-01","33733"
"2013-12-01","23872"
"2014-01-01","19570"
"2014-02-01","25991"
"2014-03-01","28787"
"2014-04-01","32479"
"2014-05-01","30130"
"2014-06-01","34418"
"2014-07-01","24085"
"2014-08-01","27442"
"2014-09-01","30073"
"2014-10-01","36717"
"2014-11-01","39108"
"2014-12-01","29047"
"2015-01-01","7620"
"2015-02-01","24223"
"2015-03-01","28559"
"2015-04-01","21232"
"2015-05-01","22454"
"2015-06-01","28218"
"2015-07-01","21817"
"2015-08-01","21358"
"2015-09-01","22747"
"2015-10-01","19424"
"2015-11-01","18855"
"2015-12-01","11179"
"2016-01-01","4025"
"2016-02-01","14223"
"2016-03-01","17552"
"2016-04-01","21428"
"2016-05-01","19588"
"2016-06-01","15140"
"2016-07-01","13738"
"2016-08-01","18126"
"2016-09-01","18970"
"2016-10-01","15169"
"2016-11-01","22625"
"2016-12-01","19829"
"2017-01-01","10134"
"2017-02-01","13315"
"2017-03-01","18145"
"2017-04-01","19499"
"2017-05-01","20818"
"2017-06-01","20715"
"2017-07-01","15410"
"2017-08-01","18400"
"2017-09-01","21262"
"2017-10-01","22091"
"2017-11-01","20122"
"2017-12-01","19174"
"2018-01-01","11065"
"2018-02-01","19348"
"2018-03-01","28691"
"2018-04-01","21496"
"2018-05-01","22566"
"2018-06-01","24205"
"2018-07-01","26599"
"2018-08-01","29525"
"2018-09-01","24984"
"2018-10-01","23680"
"2018-11-01","27334"
"2018-12-01","24108"
"2019-01-01","7873"
"2019-02-01","20053"
"2019-03-01","21837"
"2019-04-01","22182"
"2019-05-01","21834"
