"indice_tiempo","valor"
"2003-01-01","8752"
"2003-02-01","9907"
"2003-03-01","13906"
"2003-04-01","15558"
"2003-05-01","14134"
"2003-06-01","13514"
"2003-07-01","12134"
"2003-08-01","15350"
"2003-09-01","16342"
"2003-10-01","16714"
"2003-11-01","19403"
"2003-12-01","13462"
"2004-01-01","12016"
"2004-02-01","14152"
"2004-03-01","22190"
"2004-04-01","20542"
"2004-05-01","21513"
"2004-06-01","22476"
"2004-07-01","21203"
"2004-08-01","23568"
"2004-09-01","25635"
"2004-10-01","25459"
"2004-11-01","28861"
"2004-12-01","22787"
"2005-01-01","21543"
"2005-02-01","12871"
"2005-03-01","27948"
"2005-04-01","27593"
"2005-05-01","26675"
"2005-06-01","26573"
"2005-07-01","27713"
"2005-08-01","29959"
"2005-09-01","29734"
"2005-10-01","30503"
"2005-11-01","35461"
"2005-12-01","23182"
"2006-01-01","12343"
"2006-02-01","29271"
"2006-03-01","35424"
"2006-04-01","33522"
"2006-05-01","31736"
"2006-06-01","35859"
"2006-07-01","37735"
"2006-08-01","41476"
"2006-09-01","44271"
"2006-10-01","42346"
"2006-11-01","48411"
"2006-12-01","39707"
"2007-01-01","17057"
"2007-02-01","35492"
"2007-03-01","44886"
"2007-04-01","41527"
"2007-05-01","45352"
"2007-06-01","47573"
"2007-07-01","43964"
"2007-08-01","53529"
"2007-09-01","49875"
"2007-10-01","55280"
"2007-11-01","59437"
"2007-12-01","50675"
"2008-01-01","41228"
"2008-02-01","33637"
"2008-03-01","49591"
"2008-04-01","54622"
"2008-05-01","56019"
"2008-06-01","51249"
"2008-07-01","62179"
"2008-08-01","58077"
"2008-09-01","62944"
"2008-10-01","58072"
"2008-11-01","42752"
"2008-12-01","26716"
"2009-01-01","18720"
"2009-02-01","14903"
"2009-03-01","37904"
"2009-04-01","37269"
"2009-05-01","42783"
"2009-06-01","44527"
"2009-07-01","47219"
"2009-08-01","47824"
"2009-09-01","54691"
"2009-10-01","57439"
"2009-11-01","56493"
"2009-12-01","53152"
"2010-01-01","31602"
"2010-02-01","40106"
"2010-03-01","52669"
"2010-04-01","57120"
"2010-05-01","59723"
"2010-06-01","65256"
"2010-07-01","57596"
"2010-08-01","71781"
"2010-09-01","73323"
"2010-10-01","65878"
"2010-11-01","75529"
"2010-12-01","65957"
"2011-01-01","46948"
"2011-02-01","42051"
"2011-03-01","70487"
"2011-04-01","72432"
"2011-05-01","79585"
"2011-06-01","80795"
"2011-07-01","70628"
"2011-08-01","84655"
"2011-09-01","79977"
"2011-10-01","73237"
"2011-11-01","75564"
"2011-12-01","52412"
"2012-01-01","42011"
"2012-02-01","54159"
"2012-03-01","67667"
"2012-04-01","54772"
"2012-05-01","60206"
"2012-06-01","52983"
"2012-07-01","65900"
"2012-08-01","79664"
"2012-09-01","68726"
"2012-10-01","79416"
"2012-11-01","77968"
"2012-12-01","61023"
"2013-01-01","44061"
"2013-02-01","52911"
"2013-03-01","79031"
"2013-04-01","75496"
"2013-05-01","79590"
"2013-06-01","63461"
"2013-07-01","71895"
"2013-08-01","69922"
"2013-09-01","71928"
"2013-10-01","75604"
"2013-11-01","62186"
"2013-12-01","44922"
"2014-01-01","36156"
"2014-02-01","52941"
"2014-03-01","58319"
"2014-04-01","59165"
"2014-05-01","50938"
"2014-06-01","50904"
"2014-07-01","49324"
"2014-08-01","45787"
"2014-09-01","57757"
"2014-10-01","60845"
"2014-11-01","54557"
"2014-12-01","40636"
"2015-01-01","25625"
"2015-02-01","45605"
"2015-03-01","52316"
"2015-04-01","46618"
"2015-05-01","45990"
"2015-06-01","54119"
"2015-07-01","45799"
"2015-08-01","49593"
"2015-09-01","55366"
"2015-10-01","47811"
"2015-11-01","47066"
"2015-12-01","32880"
"2016-01-01","17894"
"2016-02-01","35393"
"2016-03-01","48150"
"2016-04-01","46444"
"2016-05-01","41877"
"2016-06-01","43173"
"2016-07-01","39636"
"2016-08-01","45586"
"2016-09-01","44745"
"2016-10-01","39505"
"2016-11-01","48914"
"2016-12-01","41956"
"2017-01-01","27120"
"2017-02-01","27110"
"2017-03-01","41663"
"2017-04-01","39354"
"2017-05-01","47323"
"2017-06-01","47537"
"2017-07-01","40040"
"2017-08-01","47688"
"2017-09-01","49269"
"2017-10-01","46266"
"2017-11-01","47619"
"2017-12-01","35140"
"2018-01-01","22192"
"2018-02-01","40845"
"2018-03-01","52275"
"2018-04-01","48243"
"2018-05-01","49297"
"2018-06-01","41331"
"2018-07-01","43662"
"2018-08-01","51557"
"2018-09-01","38928"
"2018-10-01","40764"
"2018-11-01","38679"
"2018-12-01","21581"
"2019-01-01","14891"
"2019-02-01","34272"
"2019-03-01","30652"
"2019-04-01","31908"
"2019-05-01","30280"
