type,link_web,modelo,precio
0km,https://auto.mercadolibre.com.ar/MLA-1450299734-chevrolet-tracker-12-turbo-at-okmmm7-_JM#position=1&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Chevrolet Tracker 1.2 Turbo At,8.099.852
0km,https://auto.mercadolibre.com.ar/MLA-1485816892-peugeot-208-new-like-12-okm-mk-_JM#position=2&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Peugeot 208 1.2 New Like,3.120.000
0km,https://auto.mercadolibre.com.ar/MLA-1386385363-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-p9-_JM#position=3&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,28.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1386372357-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-p9-_JM#position=4&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Highline,26.850.000
0km,https://auto.mercadolibre.com.ar/MLA-1494785466-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-p9-_JM#position=5&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Comfortline,21.550.000
0km,https://auto.mercadolibre.com.ar/MLA-1386396629-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-p9-_JM#position=6&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,21.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1494920898-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-p9-_JM#position=7&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,16.950.000
0km,https://auto.mercadolibre.com.ar/MLA-1386340079-bmw-x2-35i-bmw-x2-35-pack-deportivo-m-okm-2023-no-audi-q3-_JM#position=8&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Bmw X2 2.0 M35i Mpa,90.000
0km,https://auto.mercadolibre.com.ar/MLA-1386395217-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-d9-_JM#position=9&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,28.500.000
0km,https://auto.mercadolibre.com.ar/MLA-1386383467-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-d9-_JM#position=10&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Highline,26.850.000
0km,https://auto.mercadolibre.com.ar/MLA-1494708410-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-d9-_JM#position=11&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Cd Comfortline,21.550.000
0km,https://auto.mercadolibre.com.ar/MLA-1494708284-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-d9-_JM#position=12&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,21.200.000
0km,https://auto.mercadolibre.com.ar/MLA-1386394807-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-d9-_JM#position=13&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,19.950.000
0km,https://auto.mercadolibre.com.ar/MLA-1485821478-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-v9-_JM#position=14&search_layout=grid&type=item&tracking_id=c7c16553-5f03-4fa1-b1aa-e1023a670989,Volkswagen Amarok 3.0 V6 Extreme,28.500.003
