type,link_web,modelo,precio,marca,anio,version,color,combustible,puertas,transmision,motor,vehiculo
0km,https://auto.mercadolibre.com.ar/MLA-1450299734-chevrolet-tracker-12-turbo-at-okmmm7-_JM#position=1&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Chevrolet Tracker 1.2 Turbo At,8.099.852,Chevrolet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1485816892-peugeot-208-new-like-12-okm-mk-_JM#position=2&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Peugeot 208 1.2 New Like,3.120.000,Peugeot,2023,1.2 New Like,Blanco,Nafta,5,Manual,1.2,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1485821478-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-v9-_JM#position=3&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 3.0 V6 Extreme,28.500.003,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1485794834-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-v9-_JM#position=4&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 3.0 V6 Cd Highline,26.850.003,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1485846960-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-v9-_JM#position=5&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 3.0 V6 Cd Comfortline,21.550.003,Volkswagen,2023,3.0 V6 Cd Comfortline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1485885606-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-v9-_JM#position=6&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,21.200.003,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1485898648-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-v9-_JM#position=7&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,16.950.003,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384897253-volkswagen-taos-confortline-2023-okm-concesionario-43-_JM#position=8&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Taos 1.4 250 Tsi Comfortline,17.700.000,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480428730-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-b9-_JM#position=9&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 3.0 V6 Extreme,28.500.002,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480428564-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-b9-_JM#position=10&search_layout=grid&type=item&tracking_id=7f4474d2-bfe1-49fd-81cb-700768ba63c6,Volkswagen Amarok 3.0 V6 Cd Highline,26.850.002,Volkswagen,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
