type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1474375214-peugeot-208-new-like-12-okm-mk-_JM#position=1&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Peugeot 208 1.2 New Like,2023,3.120.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480428730-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-b9-_JM#position=2&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480428564-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-b9-_JM#position=3&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384498565-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-b9-_JM#position=4&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,3.0 V6 Cd Comfortline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1384473011-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-b9-_JM#position=5&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2023,21.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384521473-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-b9-_JM#position=6&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,18.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384521389-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-b9-_JM#position=7&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1479927320-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-p9-_JM#position=8&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480103528-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-p9-_JM#position=9&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480103480-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-p9-_JM#position=10&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
